RANK,SCHOOL,CONFERENCE,SCORE,;
168,Indiana St,Missouri Valley,169.56,;
169,Georgia Southern,Sun Belt,172.94,;
170,Tennessee St,Ohio Valley,173.31,;
171,Siena,MAAC,173.69,;
172,Northern Kentucky,Horizon,173.94,;
173,Fordham,Atlantic 10,174.13,;
174,Albany-NY,America East,174.50,;
175,South Dakota St,Summit,178.69,;
176,Hofstra,Colonial,180.38,;
177,Jacksonville St,Ohio Valley,180.63,;
178,Bradley,Missouri Valley,182.13,;
179,Samford,Southern,182.56,;
180,San Jose St,MWC,185.31,;
181,Ball St,MAC,185.75,;
182,Green Bay,Horizon,185.75,;
183,UAB,CUSA,185.81,;
184,Coastal Carolina,Sun Belt,186.69,;
185,Rice,CUSA,187.19,;
186,IUPUI,Summit,188.69,;
187,Morehead St,Ohio Valley,193.00,;
188,Grand Canyon,WAC,193.75,;
189,Lipscomb,Atlantic Sun,195.56,;
190,Utah Valley,WAC,195.88,;
191,Air Force,MWC,196.75,;
192,Canisius,MAAC,197.56,;
193,Texas St,Sun Belt,197.56,;
194,Northern Illinois,MAC,198.63,;
195,Denver,Summit,200.31,;
196,Tulane,American,200.50,;
197,Oregon St,Pac 12,201.00,;
198,Weber St,Big Sky,201.19,;
199,Pacific,West Coast,202.63,;
200,UNLV,MWC,202.81,;
201,Duquesne,Atlantic 10,203.25,;
202,Oral Roberts,Summit,203.81,;
203,New Hampshire,America East,203.88,;
204,Long Beach St,Big West,204.25,;
205,North Dakota,Big Sky,204.94,;
206,UTEP,CUSA,207.63,;
207,Boston U.,Patriot,207.75,;
208,James Madison,Colonial,207.75,;
209,Murray St,Ohio Valley,208.69,;
210,Central Michigan,MAC,208.88,;
211,Fairfield,MAAC,210.50,;
212,NC Central,MEAC,211.63,;
213,Eastern Washington,Big Sky,212.00,;
214,Gardner-Webb,Big South,213.19,;
215,Montana,Big Sky,213.38,;
216,New Orleans,Southland,216.00,;
217,Charlotte,CUSA,218.63,;
218,Saint Louis,Atlantic 10,219.31,;
219,Cleveland St,Horizon,221.38,;
220,Kansas City(UMKC),WAC,221.56,;
221,Rider,MAAC,221.63,;
222,Tennessee-Martin,Ohio Valley,222.31,;
223,Western Kentucky,CUSA,222.44,;
224,Bowling Green,MAC,222.69,;
225,Holy Cross,Patriot,222.81,;
226,San Diego,West Coast,222.88,;
227,Navy,Patriot,223.19,;
228,UC Davis,Big West,223.38,;
229,UMBC,America East,224.06,;
230,Drake,Missouri Valley,224.56,;
231,Portland,West Coast,224.94,;
232,Columbia,Ivy,226.44,;
233,Drexel,Colonial,227.44,;
234,North Florida(UNF),Atlantic Sun,227.63,;
235,Houston Baptist,Southland,229.56,;
236,South Alabama,Sun Belt,229.75,;
237,Stony Brook-NY,America East,232.19,;
238,Mount St Mary's,NEC,233.00,;
239,Texas A&M-CorpusChristi,Southland,233.69,;
240,Eastern Illinois,Ohio Valley,234.00,;
241,Cornell,Ivy,234.31,;
242,Milwaukee,Horizon,235.50,;
243,Liberty,Big South,235.75,;
244,Little Rock,Sun Belt,236.19,;
245,South Florida,American,237.31,;
246,Texas Southern,SWAC,237.63,;
247,Illinois-Chicago,Horizon,238.06,;
248,Idaho,Big Sky,238.38,;
249,Pepperdine,West Coast,238.50,;
250,Louisiana-Monroe,Sun Belt,238.75,;
251,Appalachian St,Sun Belt,242.25,;
252,SE Missouri St(SEMO),Ohio Valley,242.69,;
